xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
1.531441599999999736e+00	4.500056853823430458e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.533929919999999836e+00	4.500056964034356177e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.536915903999999777e+00	4.500057096864738426e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.540499084799999752e+00	4.500057257017655132e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.544798901759999676e+00	4.500057450172943341e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.549958682111999719e+00	4.500057683181723611e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.556150418534399726e+00	4.500057964289426060e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.563580502241279646e+00	4.500058303402076021e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.572496602689535505e+00	4.500058712383341764e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.583195923227442625e+00	4.500059205418748931e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.596035107872931125e+00	4.500059799401170402e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.611442129447517413e+00	4.500060514402761669e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.629930555337020914e+00	4.500061374023363037e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.652116666404425116e+00	4.500062405492555762e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.678739999685310291e+00	4.500063638075288530e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.710687999622372502e+00	4.500065095269961901e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.749025599546847110e+00	4.500066782621084727e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.790724746228618880e+00	4.500068552443329928e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.832423892910390650e+00	4.500070296543950299e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.874123039592162421e+00	4.500072034274455568e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.915822186273934191e+00	4.500073769978373939e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.957521332955705962e+00	4.500075504837356632e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.999220479637477732e+00	4.500077239043162258e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.040919626319249502e+00	4.500078972810285016e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.082618773001021051e+00	4.500080706107592476e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.124317919682793043e+00	4.500082439080036245e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.166017066364564592e+00	4.500084171679974432e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.207716213046336584e+00	4.500085904032477657e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.249415359728108132e+00	4.500087636087044984e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.291114506409880125e+00	4.500089367953605368e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.332813653091651673e+00	4.500091099580803444e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.374512799773423666e+00	4.500092831065251708e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.416211946455195214e+00	4.500094562356903083e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.457911093136967207e+00	4.500096293539823655e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.499610239818738755e+00	4.500098024564789689e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.541309386500510747e+00	4.500099755501652865e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.583008533182282296e+00	4.500101486292794384e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.624707679864054288e+00	4.500103216964889796e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.666406826545825837e+00	4.500104947365208830e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.708105973227597829e+00	4.500106677222013296e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.749805119909369377e+00	4.500108405536180634e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.791504266591140926e+00	4.500110129530533243e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.833203413272912918e+00	4.500111840880626879e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.874902559954684911e+00	4.500113515262164299e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.916601706636456459e+00	4.500115081551874674e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.958300853318228008e+00	4.500116323597961987e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.000000000000000000e+00	4.500116806797072933e+00	0.000000000000000000e+00	2.492500000000000000e+02
