xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
1.321260000314689709e+00	5.999835356579795480e+05	4.500046413882093255e+00	1.396064658335693878e+02	2.402357219908569652e-01	4.026480108667396485e-06	1.432073444468382473e+00	2.846061322808373916e+03	3.614802390716527952e+03	2.330219897628137915e+03	2.460559550787018281e+02	2.208948480652694890e-02	2.425154815731006238e+03	6.589076228107770827e-01	2.179999907417764176e-05
1.347883333595574884e+00	5.999832040038481355e+05	4.500047385871175365e+00	1.396064455945966927e+02	2.402357462888562445e-01	4.026479563409443858e-06	1.432073376589435343e+00	2.846059891145395341e+03	3.614802987881738773e+03	2.330219970963983087e+03	2.460559183566026604e+02	2.208948314086277287e-02	2.425155144140707307e+03	6.589076921194422232e-01	2.179999811869915436e-05
1.370069444662979086e+00	5.999829274313694332e+05	4.500048195616474622e+00	1.396064287266983115e+02	2.402357911517684075e-01	4.026479109027816388e-06	1.432073320023646179e+00	2.846058698092912891e+03	3.614803485519413698e+03	2.330220032077187170e+03	2.460558877548533019e+02	2.208948175280928475e-02	2.425155417815527017e+03	6.589077498766486851e-01	2.179999955577037037e-05
1.388557870552482587e+00	5.999826971466366667e+05	4.500048870685275482e+00	1.396064146716999801e+02	2.402358039300063197e-01	4.026478730376460444e-06	1.432073272885488580e+00	2.846057703882511305e+03	3.614803900217476894e+03	2.330220083004857315e+03	2.460558622533955315e+02	2.208948059609804754e-02	2.425155645877922780e+03	6.589077980076439855e-01	2.179999852058709230e-05
1.403964892127068875e+00	5.999825050519880606e+05	4.500049433435942881e+00	1.396064029519417033e+02	2.402358391807056237e-01	4.026478414833663543e-06	1.432073233603690543e+00	2.846056875373842558e+03	3.614804245799195996e+03	2.330220125444582209e+03	2.460558410021806992e+02	2.208947963217201826e-02	2.425155835929952445e+03	6.589078381167996490e-01	2.179999988930364393e-05
1.416804076772557375e+00	5.999823451621423010e+05	4.500049902990376438e+00	1.396063931832072171e+02	2.402358439788827849e-01	4.026478151881333073e-06	1.432073200868858809e+00	2.846056184949952694e+03	3.614804533783962142e+03	2.330220160811020378e+03	2.460558232928350435e+02	2.208947882890032605e-02	2.425155994306666344e+03	6.589078715410913167e-01	2.179999879929009698e-05
1.427503397310464495e+00	5.999822117332166526e+05	4.500050294643458848e+00	1.396063850334532503e+02	2.402358725625923508e-01	4.026477932754390733e-06	1.432073173589832438e+00	2.846055609596710383e+03	3.614804773771266809e+03	2.330220190283051579e+03	2.460558085350469355e+02	2.208947815950725035e-02	2.425156126287276948e+03	6.589078993946640983e-01	2.180000012048357035e-05
1.436419497758720354e+00	5.999821007281686179e+05	4.500050621649160476e+00	1.396063782392493238e+02	2.402358718283368610e-01	4.026477750148605450e-06	1.432073150857310351e+00	2.846055130135675881e+03	3.614804973760687517e+03	2.330220214843077883e+03	2.460557962368902167e+02	2.208947760167968496e-02	2.425156236271130638e+03	6.589079226059725292e-01	2.179999899291670248e-05
1.443849581465600274e+00	5.999820080398824066e+05	4.500050894460353668e+00	1.396063725689742228e+02	2.402358957799217987e-01	4.026477597977117996e-06	1.432073131913542019e+00	2.846054730584813115e+03	3.614805140418538031e+03	2.330220235309765940e+03	2.460557859884262939e+02	2.208947713682337874e-02	2.425156327924349625e+03	6.589079419487280376e-01	2.180000028095046904e-05
1.450041317888000281e+00	5.999819309820677154e+05	4.500051122324858710e+00	1.396063678421949135e+02	2.402358912049240847e-01	4.026477471167545259e-06	1.432073116127068335e+00	2.846054397625761339e+03	3.614805279300080201e+03	2.330220252365339547e+03	2.460557774480396631e+02	2.208947674944312933e-02	2.425156404302037117e+03	6.589079580676896475e-01	2.179999912769389826e-05
1.455201098240000324e+00	5.999818665864430368e+05	4.500051312393992475e+00	1.396063638963532583e+02	2.402359119324376791e-01	4.026477365492901453e-06	1.432073102971673784e+00	2.846054120159884860e+03	3.614805395034699359e+03	2.330220266578317933e+03	2.460557703310508373e+02	2.208947642662625194e-02	2.425156467950113438e+03	6.589079715001571191e-01	2.180000039243790779e-05
