xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
1.900000000000000133e+00	4.502311875405475838e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.950000000000000178e+00	4.502372541349282109e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.000000000000000000e+00	4.502433216850666220e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.050000000000000266e+00	4.502493865675066154e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.100000000000000089e+00	4.502554511126191095e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.149999999999999911e+00	4.502615181419193036e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.200000000000000178e+00	4.502675830091484421e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.250000000000000000e+00	4.502736459417300274e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.300000000000000266e+00	4.502797089215492932e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.350000000000000089e+00	4.502857705926613718e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.400000000000000355e+00	4.502918336615246986e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.450000000000000178e+00	4.502979001220576372e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.500000000000000000e+00	4.503039638488276708e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.550000000000000266e+00	4.503100261327124265e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.600000000000000089e+00	4.503160867595668471e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.650000000000000355e+00	4.503221488618059709e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.700000000000000178e+00	4.503282088721054954e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.750000000000000000e+00	4.503342663996992457e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.800000000000000266e+00	4.503403225238596264e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.850000000000000089e+00	4.503463798880774860e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.900000000000000355e+00	4.503524371119409508e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.950000000000000178e+00	4.503584954436698595e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.000000000000000000e+00	4.503645514985414877e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.050000000000000266e+00	4.503706051225504936e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.100000000000000089e+00	4.503766599862008668e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.150000000000000355e+00	4.503827154373597708e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.200000000000000178e+00	4.503887679829963631e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.250000000000000000e+00	4.503948238159316553e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.300000000000000266e+00	4.504008770766540160e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.350000000000000089e+00	4.504069286592899957e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.400000000000000355e+00	4.504129786604918806e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.450000000000000178e+00	4.504190273572756809e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.500000000000000000e+00	4.504250763340762020e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.550000000000000266e+00	4.504311278204341740e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.600000000000000089e+00	4.504371789340950727e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.650000000000000355e+00	4.504432251408526433e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.700000000000000178e+00	4.504492716146731190e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.750000000000000000e+00	4.504553218798888814e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.800000000000000266e+00	4.504613677231467328e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.850000000000000089e+00	4.504674169984554943e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.900000000000000355e+00	4.504734624377679353e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.950000000000000178e+00	4.504795071902108816e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.000000000000000000e+00	4.504855539594853298e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.049999999999999822e+00	4.504915968338424115e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.100000000000000533e+00	4.504976412238131722e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.150000000000000355e+00	4.505036831371519668e+00	0.000000000000000000e+00	1.621670120032514717e+01
