xcoord (m)	temperature (K)
2.800000000000000266e+00	4.503403222625194324e+00
2.850000000000000089e+00	4.503463801248215326e+00
2.900000000000000355e+00	4.503524376717961353e+00
2.950000000000000178e+00	4.503584960173625973e+00
3.000000000000000000e+00	4.503645515030736846e+00
3.050000000000000266e+00	4.503706054077419196e+00
3.100000000000000089e+00	4.503766600764396166e+00
3.150000000000000355e+00	4.503827158830132404e+00
3.200000000000000178e+00	4.503887680468920962e+00
3.250000000000000000e+00	4.503948242739514107e+00
3.300000000000000266e+00	4.504008763870309018e+00
3.350000000000000089e+00	4.504069283062910323e+00
3.400000000000000355e+00	4.504129787183640765e+00
3.450000000000000178e+00	4.504190277907748730e+00
3.500000000000000000e+00	4.504250762031957400e+00
3.550000000000000266e+00	4.504311276072170855e+00
3.600000000000000089e+00	4.504371784144848512e+00
3.650000000000000355e+00	4.504432243813533354e+00
3.700000000000000178e+00	4.504492715293964444e+00
3.750000000000000000e+00	4.504553226639188779e+00
3.800000000000000266e+00	4.504613683344394381e+00
3.850000000000000089e+00	4.504674175977243067e+00
3.900000000000000355e+00	4.504734624366658835e+00
3.950000000000000178e+00	4.504795069533505725e+00
4.000000000000000000e+00	4.504855537761272899e+00
4.049999999999999822e+00	4.504915963581384020e+00
4.100000000000000533e+00	4.504976414259433071e+00
4.150000000000000355e+00	4.505036835091990710e+00
4.200000000000000178e+00	4.505097285528659512e+00
4.250000000000000000e+00	4.505157705780209909e+00
4.299999999999999822e+00	4.505218126725091921e+00
4.350000000000000533e+00	4.505278566094173875e+00
4.400000000000000355e+00	4.505338965062498424e+00
4.450000000000000178e+00	4.505399365730612615e+00
4.500000000000000000e+00	4.505459751045856720e+00
4.549999999999999822e+00	4.505520132134599010e+00
4.600000000000000533e+00	4.505580514981609497e+00
4.650000000000000355e+00	4.505640888103097375e+00
4.700000000000000178e+00	4.505701274927872646e+00
4.750000000000000000e+00	4.505761606109568440e+00
4.800000000000000711e+00	4.505821962409217285e+00
4.850000000000000533e+00	4.505882337404009341e+00
4.900000000000000355e+00	4.505942705508561019e+00
4.950000000000000178e+00	4.506003072801908260e+00
5.000000000000000000e+00	4.506063420332409031e+00
5.050000000000000711e+00	4.506123728332931400e+00
5.100000000000000533e+00	4.506184066803376354e+00
5.150000000000000355e+00	4.506244377569194270e+00
5.200000000000000178e+00	4.506304686338837406e+00
5.250000000000000000e+00	4.506364996623703156e+00
5.300000000000000711e+00	4.506425301131022465e+00
5.350000000000000533e+00	4.506485611396992219e+00
5.400000000000000355e+00	4.506545892951062449e+00
5.450000000000000178e+00	4.506606183850975000e+00
5.500000000000000000e+00	4.506666473190491295e+00
5.550000000000000711e+00	4.506726730465424602e+00
5.600000000000000533e+00	4.506787003072063591e+00
5.650000000000000355e+00	4.506847288263487350e+00
5.700000000000000178e+00	4.506907546002860698e+00
5.750000000000000000e+00	4.506967807518969416e+00
5.800000000000000711e+00	4.507028090065648307e+00
5.850000000000000533e+00	4.507088320047391683e+00
5.900000000000000355e+00	4.507148574288260434e+00
5.950000000000000178e+00	4.507208820034560581e+00
6.000000000000000000e+00	4.507269058636644843e+00
6.050000000000000711e+00	4.507329268302206593e+00
6.100000000000000533e+00	4.507389491319229613e+00
6.150000000000000355e+00	4.507449691408019099e+00
6.200000000000000178e+00	4.507509903029892406e+00
6.250000000000000000e+00	4.507570121729642665e+00
6.300000000000000711e+00	4.507630315910160945e+00
6.350000000000000533e+00	4.507690502596307880e+00
6.400000000000000355e+00	4.507750703195966047e+00
6.450000000000000178e+00	4.507810886007385776e+00
6.500000000000000000e+00	4.507871066089943035e+00
6.550000000000000711e+00	4.507931217790104306e+00
