xcoord (m)	temperature (K)
2.250000000000000000e+01	1.267484575680747838e+02
2.300000000000000000e+01	1.265832574263198751e+02
2.350000000000000000e+01	1.264180670374608155e+02
2.400000000000000000e+01	1.262528637956962854e+02
2.450000000000000000e+01	1.260876693864722284e+02
2.500000000000000000e+01	1.259224645295808074e+02
2.550000000000000000e+01	1.257572678464712226e+02
2.600000000000000000e+01	1.255920628913656714e+02
2.650000000000000000e+01	1.254268656748071606e+02
2.700000000000000000e+01	1.252616621676519912e+02
2.750000000000000000e+01	1.250964661551152091e+02
2.800000000000000000e+01	1.249312656690266010e+02
2.850000000000000000e+01	1.247660725976675309e+02
2.900000000000000000e+01	1.246008767308155427e+02
2.950000000000000000e+01	1.244356883397681059e+02
3.000000000000000000e+01	1.242704987138199471e+02
3.050000000000000000e+01	1.241053167461886488e+02
3.100000000000000000e+01	1.239401350050386270e+02
3.150000000000000000e+01	1.237749612096407930e+02
3.200000000000000000e+01	1.236097890183841201e+02
3.250000000000000000e+01	1.234446251512806327e+02
3.300000000000000000e+01	1.232794641953938992e+02
3.350000000000000000e+01	1.231143120212446149e+02
3.400000000000000000e+01	1.229491640059401760e+02
3.450000000000000000e+01	1.227840252992122885e+02
3.500000000000000000e+01	1.226188919489410125e+02
3.550000000000000000e+01	1.224537684949948755e+02
3.600000000000000000e+01	1.222886515530753968e+02
3.650000000000000000e+01	1.221235451491500186e+02
3.700000000000000000e+01	1.219584463775042167e+02
3.750000000000000000e+01	1.217933588336192940e+02
3.800000000000000000e+01	1.216282800125975285e+02
3.850000000000000000e+01	1.214632131523865155e+02
3.900000000000000000e+01	1.212981560806710206e+02
3.950000000000000000e+01	1.211331117421603949e+02
4.000000000000000000e+01	1.209680782367326941e+02
4.050000000000000000e+01	1.208030582730773688e+02
4.100000000000000000e+01	1.206380501692401452e+02
4.150000000000000000e+01	1.204730564494238649e+02
4.200000000000000000e+01	1.203080756008706089e+02
4.250000000000000000e+01	1.201431100103811360e+02
4.300000000000000000e+01	1.199781582893010494e+02
4.350000000000000000e+01	1.198132227307889082e+02
4.400000000000000000e+01	1.196483020280053040e+02
4.450000000000000000e+01	1.194833984219287544e+02
4.500000000000000000e+01	1.193185106470617427e+02
4.550000000000000000e+01	1.191536409323289831e+02
4.600000000000000000e+01	1.189887880139776115e+02
4.650000000000000000e+01	1.188239541485887258e+02
4.700000000000000000e+01	1.186591380345277713e+02
4.750000000000000000e+01	1.184943419962214506e+02
4.800000000000000000e+01	1.183295646536076191e+02
4.850000000000000000e+01	1.181648084405212131e+02
4.900000000000000000e+01	1.180000718561042561e+02
4.950000000000000000e+01	1.178353574874484906e+02
5.000000000000000000e+01	1.176706636677816107e+02
5.050000000000000000e+01	1.175059931845376155e+02
5.100000000000000000e+01	1.173413441561846327e+02
5.150000000000000000e+01	1.171767196218275728e+02
5.200000000000000000e+01	1.170121174315597727e+02
5.250000000000000000e+01	1.168475409328156474e+02
5.300000000000000000e+01	1.166829876477941497e+02
5.350000000000000000e+01	1.165184612954353156e+02
5.400000000000000000e+01	1.163539590033755644e+02
5.450000000000000000e+01	1.161894849330613795e+02
5.500000000000000000e+01	1.160250357423709886e+02
5.550000000000000000e+01	1.158606161155416743e+02
5.600000000000000000e+01	1.156962221554275629e+02
5.650000000000000000e+01	1.155318591602589606e+02
5.700000000000000000e+01	1.153675225807967735e+02
5.750000000000000000e+01	1.152032184332249614e+02
5.800000000000000000e+01	1.150389414053814789e+02
5.850000000000000000e+01	1.148746983502068275e+02
