xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
3.250000000000000000e+01	2.779433117295707925e+05	1.220892075035232267e+02	7.912434672888270626e+00	-8.374497744409877598e+00	1.181809469091646934e-02	3.888749953617689432e-06	8.370999173441296959e-01	7.059290658466928714e-06	9.880376842331176158e+04	1.138468545402689870e+03	7.697319224423491733e+02	1.976065976226198302e+02	9.600742039275272921e-03	4.141002542916627135e+05	4.053491908985136782e-01	-2.248239301786693900e-01
3.300000000000000000e+01	2.781961045599555364e+05	1.219235318364496408e+02	7.931669709793033540e+00	-8.354217428621097952e+00	1.181968484761759981e-02	3.886107594644975106e-06	8.371532497446677601e-01	7.059412883016245196e-06	9.880004587029918912e+04	1.138555554262168243e+03	7.697549240293130879e+02	1.976017587029914750e+02	9.601030337324144293e-03	4.140930846845308552e+05	4.053528976179663901e-01	-2.248247003943440181e-01
3.350000000000000000e+01	2.784483064133869484e+05	1.217578658811012673e+02	7.950949421044078314e+00	-8.333999356413457349e+00	1.182127546851733865e-02	3.883469141882437164e-06	8.372065938401799245e-01	7.059535121416783144e-06	9.879632294866595475e+04	1.138642588413630165e+03	7.697779304409854149e+02	1.975969193116723659e+02	9.601318722032689892e-03	4.140859145131987170e+05	4.053566038940319971e-01	-2.248257658738408160e-01
3.400000000000000000e+01	2.786998798878179514e+05	1.215922049929159954e+02	7.970273283941295972e+00	-8.313822898695004682e+00	1.182286655383615187e-02	3.880834586815010089e-06	8.372599496366358585e-01	7.059657373672400793e-06	9.879259965830932197e+04	1.138729647869336077e+03	7.698009416794485560e+02	1.975920794485237764e+02	9.601607193427817016e-03	4.140787437775115250e+05	4.053603097264092403e-01	-2.248265570316536344e-01
3.450000000000000000e+01	2.789508629190335050e+05	1.214265543531048195e+02	7.989642294779108589e+00	-8.293706496785556936e+00	1.182445810379464599e-02	3.878203920952447274e-06	8.373133171400113373e-01	7.059779639786957226e-06	9.878887599912642327e+04	1.138816732641555518e+03	7.698239577467863910e+02	1.975872391134070938e+02	9.601895751536441634e-03	4.140715724773145630e+05	4.053640151147966941e-01	-2.248276009324355895e-01
3.500000000000000000e+01	2.792012230524127372e+05	1.212609099915276829e+02	8.009056031263270370e+00	-8.273632559114522778e+00	1.182605011861359058e-02	3.875577135829229548e-06	8.373666963562856891e-01	7.059901919764312372e-06	9.878515197101446392e+04	1.138903842742567349e+03	7.698469786450854144e+02	1.975823983061835634e+02	9.602184396385504001e-03	4.140644006124527659e+05	4.053677200588920448e-01	-2.248284102824048281e-01
3.550000000000000000e+01	2.794509936305181473e+05	1.210952764765509073e+02	8.028515402437429671e+00	-8.253616706224487842e+00	1.182764259851390096e-02	3.872954223004469456e-06	8.374200872914445704e-01	7.060024213608330395e-06	9.878142757387046004e+04	1.138990978184660435e+03	7.698700043764340535e+02	1.975775570267143166e+02	9.602473128001946107e-03	4.140572281827711849e+05	4.053714245583929232e-01	-2.248294352961303921e-01
3.600000000000000000e+01	2.797001463896281784e+05	1.209296504089261077e+02	8.048020071732725711e+00	-8.233643987221807237e+00	1.182923554371666242e-02	3.870335174061831642e-06	8.374734899514777453e-01	7.060146521322876307e-06	9.877770280759145680e+04	1.139078138980132735e+03	7.698930349429226681e+02	1.975727152748605135e+02	9.602761946412737698e-03	4.140500551881148713e+05	4.053751286129964604e-01	-2.248302605252852082e-01
3.650000000000000000e+01	2.799487107860430260e+05	1.207640358406894165e+02	8.067570874785829460e+00	-8.213727565736377301e+00	1.183082895444310945e-02	3.867719980609437129e-06	8.375269043423808624e-01	7.060268842911815118e-06	9.877397767207444122e+04	1.139165325141292669e+03	7.699160703466436644e+02	1.975678730504830867e+02	9.603050851644851990e-03	4.140428816283288179e+05	4.053788322223998986e-01	-2.248312689353895721e-01
3.700000000000000000e+01	2.801966620865046280e+05	1.205984298537404129e+02	8.087167547884300589e+00	-8.193854797979007287e+00	1.183242283091462919e-02	3.865108634279777775e-06	8.375803304701530116e-01	7.060391178379016075e-06	9.877025216721628385e+04	1.139252536680456842e+03	7.699391105896914951e+02	1.975630303534429970e+02	9.603339843725288219e-03	4.140357075032576104e+05	4.053825353862992587e-01	-2.248321081115060571e-01
3.750000000000000000e+01	2.804440264800855075e+05	1.204328360676847609e+02	8.106810865446981040e+00	-8.174036695623641435e+00	1.183401717335276319e-02	3.862501126729625637e-06	8.376337683407993895e-01	7.060513527728348425e-06	9.876652629291391349e+04	1.139339773609952317e+03	7.699621556741626591e+02	1.975581871836011203e+02	9.603628922681054295e-03	4.140285328127460671e+05	4.053862381043910612e-01	-2.248331018447015106e-01
3.800000000000000000e+01	2.806907821838388336e+05	1.202672519673585469e+02	8.126500625260133504e+00	-8.154262643346076089e+00	1.183561198197922992e-02	3.859897449639944877e-06	8.376872179603296331e-01	7.060635890963684803e-06	9.876280004906405520e+04	1.139427035942115253e+03	7.699852056021558155e+02	1.975533435408182470e+02	9.603918088539173739e-03	4.140213575566390064e+05	4.053899403763711606e-01	-2.248339533693898273e-01
3.850000000000000000e+01	2.809369526654774672e+05	1.201016808133196463e+02	8.146237551340389516e+00	-8.134541754521611878e+00	1.183720725701587796e-02	3.857297594715808761e-06	8.377406793347589309e-01	7.060758268088898689e-06	9.875907343556349224e+04	1.139514323689291814e+03	7.700082603757713287e+02	1.975484994249549970e+02	9.604207341326685687e-03	4.140141817347809556e+05	4.053936422019347452e-01	-2.248349340384549477e-01
3.900000000000000000e+01	2.811825185786933289e+05	1.199361204247093724e+02	8.166021492862425291e+00	-8.114865211653363275e+00	1.183880299868472243e-02	3.854701553686304782e-06	8.377941524701066900e-01	7.060880659107866108e-06	9.875534645230893511e+04	1.139601636863837030e+03	7.700313199971119502e+02	1.975436548358721325e+02	9.604496681070643152e-03	4.140070053470162675e+05	4.053973435807770587e-01	-2.248357966083517345e-01
3.950000000000000000e+01	2.814275011554793455e+05	1.197705737677215581e+02	8.185853133131184123e+00	-8.095240438477491196e+00	1.184039920720794149e-02	3.852109318304456738e-06	8.378476373723983128e-01	7.061003064024463081e-06	9.875161909919697791e+04	1.139688975478117300e+03	7.700543844682824783e+02	1.975388097734301027e+02	9.604786107798118228e-03	4.139998283931896440e+05	4.054010445125925677e-01	-2.248367655473295090e-01
4.000000000000000000e+01	2.816718830268197344e+05	1.196050389350552194e+02	8.205732363612430191e+00	-8.075660226973839784e+00	1.184199588280786253e-02	3.849520880347130710e-06	8.379011340476628655e-01	7.061125482842570714e-06	9.874789137612424383e+04	1.139776339544505618e+03	7.700774537913894164e+02	1.975339642374894140e+02	9.605075621536191682e-03	4.139926508731453214e+05	4.054047449970759609e-01	-2.248376381224150844e-01
4.050000000000000000e+01	2.819156836258431431e+05	1.194395186561127957e+02	8.225659835686682797e+00	-8.056130480067654531e+00	1.184359302570697596e-02	3.846936231614948668e-06	8.379546425019352984e-01	7.061247915566068417e-06	9.874416328298723965e+04	1.139863729075387027e+03	7.701005279685417690e+02	1.975291182279104305e+02	9.605365222311963366e-03	4.139854727867276524e+05	4.054084450339212609e-01	-2.248385964151173033e-01
4.100000000000000000e+01	2.821588871450006845e+05	1.192740112427974282e+02	8.245635474816026544e+00	-8.036645448497878874e+00	1.184519063612792314e-02	3.844355363932216466e-06	8.380081627412548917e-01	7.061370362198838989e-06	9.874043481968242850e+04	1.139951144083155668e+03	7.701236070018503597e+02	1.975242717445535163e+02	9.605654910152552212e-03	4.139782941337809898e+05	4.054121446228217684e-01	-2.248394781933403530e-01
4.150000000000000000e+01	2.824015116168632521e+05	1.191085192395811418e+02	8.265659908541111989e+00	-8.017209647548881435e+00	1.184678871429351542e-02	3.841778269146820511e-06	8.380616947716673648e-01	7.061492822744767772e-06	9.873670598610625893e+04	1.140038584580215002e+03	7.701466908934278308e+02	1.975194247872789219e+02	9.605944685085080620e-03	4.139711149141492788e+05	4.054158437634713952e-01	-2.248404266958874687e-01
4.200000000000000000e+01	2.826435424133160850e+05	1.189430411282930322e+02	8.285733088636339616e+00	-7.997818669913547396e+00	1.184838726042670119e-02	3.839204939130150679e-06	8.381152385992212128e-01	7.061615297207740951e-06	9.873297678215504857e+04	1.140126050578977583e+03	7.701697796453895535e+02	1.975145773559467273e+02	9.606234547136697013e-03	4.139639351276766974e+05	4.054195424555623317e-01	-2.248413170934618066e-01
4.250000000000000000e+01	2.828849965354115120e+05	1.187775793158728419e+02	8.305855626368458644e+00	-7.978475744040180118e+00	1.184998627475059886e-02	3.836635365777016460e-06	8.381687942299718141e-01	7.061737785591646408e-06	9.872924720772515866e+04	1.140213542091866884e+03	7.701928732598519218e+02	1.975097294504170975e+02	9.606524496334561958e-03	4.139567547742071911e+05	4.054232406987877124e-01	-2.248422564514219457e-01
4.300000000000000000e+01	2.831258601773377741e+05	1.186121324086877138e+02	8.326027492573384592e+00	-7.959177718793646328e+00	1.185158575748848815e-02	3.834069541005564797e-06	8.382223616699786550e-01	7.061860287900374565e-06	9.872551726271276129e+04	1.140301059131314787e+03	7.702159717389346270e+02	1.975048810705499989e+02	9.606814532705848161e-03	4.139495738535849378e+05	4.054269384928395059e-01	-2.248431550882638019e-01
4.350000000000000000e+01	2.833661496569549781e+05	1.184467027202068437e+02	8.346249289463662180e+00	-7.939926606731878778e+00	1.185318570886380492e-02	3.831507456757189452e-06	8.382759409253061067e-01	7.061982804137817539e-06	9.872178694701410132e+04	1.140388601709763407e+03	7.702390750847582694e+02	1.975000322162054260e+02	9.607104656277749150e-03	4.139423923656534753e+05	4.054306358374097363e-01	-2.248440857488530620e-01
4.400000000000000000e+01	2.836058516502559651e+05	1.182812889387607669e+02	8.366520999951315929e+00	-7.920720455992682041e+00	1.185478612910013420e-02	3.828949104996454771e-06	8.383295320020246466e-01	7.062105334307869140e-06	9.871805626052532170e+04	1.140476169839665090e+03	7.702621832994465194e+02	1.974951828872431463e+02	9.607394867077465386e-03	4.139352103102568653e+05	4.054343327321896506e-01	-2.248449924388048193e-01
4.450000000000000000e+01	2.838449821275555296e+05	1.181158933261097559e+02	8.386843224232421790e+00	-7.901560106119505100e+00	1.185638701842122930e-02	3.826394477711005903e-06	8.383831349062084159e-01	7.062227878414424026e-06	9.871432520314247813e+04	1.140563763533480369e+03	7.702852963851241839e+02	1.974903330835229838e+02	9.607685165132218152e-03	4.139280276872385875e+05	4.054380291768705513e-01	-2.248459146584559920e-01
4.500000000000000000e+01	2.840835279149410781e+05	1.179505146117866587e+02	8.407215950413293726e+00	-7.882444775054194608e+00	1.185798837705099966e-02	3.823843566911492564e-06	8.384367496439368850e-01	7.062350436461380243e-06	9.871059377476159716e+04	1.140651382803680690e+03	7.703084143439189120e+02	1.974854828049046205e+02	9.607975550469247811e-03	4.139208444964425289e+05	4.054417251711430747e-01	-2.248468294040033844e-01
4.550000000000000000e+01	2.843215049658499775e+05	1.177851550462734735e+02	8.427639783689620856e+00	-7.863374145259480308e+00	1.185959020521350910e-02	3.821296364631481794e-06	8.384903762212956302e-01	7.062473008452636682e-06	9.870686197527869081e+04	1.140739027662747048e+03	7.703315371779598308e+02	1.974806320512476816e+02	9.608266023115798193e-03	4.139136607377122273e+05	4.054454207146977462e-01	-2.248477432515250951e-01
4.600000000000000000e+01	2.845588999259423581e+05	1.176198133604136444e+02	8.448114710424144747e+00	-7.844348601630678708e+00	1.186119250313298450e-02	3.818752862927375794e-06	8.385440146443735587e-01	7.062595594392094778e-06	9.870312980458964012e+04	1.140826698123169308e+03	7.703546648893785687e+02	1.974757808224117070e+02	9.608556583099139153e-03	4.139064764108909876e+05	4.054491158072248691e-01	-2.248486662428592353e-01
4.650000000000000000e+01	2.847957290650133509e+05	1.174544918334340764e+02	8.468641347966745059e+00	-7.825366659044669326e+00	1.186279527103380714e-02	3.816213053878336540e-06	8.385976649192660171e-01	7.062718194283656811e-06	9.869939726259031158e+04	1.140914394197448246e+03	7.703777974803084589e+02	1.974709291182561515e+02	9.608847230446550952e-03	4.138992915158224641e+05	4.054528104484136919e-01	-2.248495715982998522e-01
4.700000000000000000e+01	2.850319785114254337e+05	1.172891891575557253e+02	8.489219673781446929e+00	-7.806429892917797986e+00	1.186439850914052484e-02	3.813676929586196422e-06	8.386513270520726815e-01	7.062840808131228451e-06	9.869566434917649894e+04	1.141002115898093280e+03	7.704009349528853363e+02	1.974660769386404127e+02	9.609137965185331198e-03	4.138921060523498454e+05	4.054565046379535742e-01	-2.248505032166804030e-01
4.750000000000000000e+01	2.852676651947028004e+05	1.171239076812718736e+02	8.509850324828567736e+00	-7.787535613497005293e+00	1.186600221767783458e-02	3.811144482175380314e-06	8.387050010488983354e-01	7.062963435938715367e-06	9.869193106424393773e+04	1.141089863237623831e+03	7.704240773092466270e+02	1.974612242834238316e+02	9.609428787342787909e-03	4.138849200203163200e+05	4.054601983755338201e-01	-2.248513997658760089e-01
4.800000000000000000e+01	2.855027743750496302e+05	1.169586460173052416e+02	8.530533262134660788e+00	-7.768686637102561576e+00	1.186760639687060338e-02	3.808615703792829347e-06	8.387586869158529801e-01	7.063086077710025767e-06	9.868819740768836346e+04	1.141177636228569781e+03	7.704472245515321447e+02	1.974563711524655787e+02	9.609719696946251652e-03	4.138777334195654839e+05	4.054638916608425681e-01	-2.248523405913035733e-01
4.850000000000000000e+01	2.857373240029846202e+05	1.167934066253343985e+02	8.551269150199161118e+00	-7.749879005075818839e+00	1.186921104694385089e-02	3.806090586607910694e-06	8.388123846590517241e-01	7.063208733449070404e-06	9.868446337940538069e+04	1.141265434883469652e+03	7.704703766818837494e+02	1.974515175456247960e+02	9.610010694023063405e-03	4.138705462499400601e+05	4.054675844935684559e-01	-2.248532278160708109e-01
4.900000000000000000e+01	2.859712980977863772e+05	1.166281879958597756e+02	8.572057925513137278e+00	-7.731116852828908037e+00	1.187081616812275461e-02	3.803569122812348116e-06	8.388660942846144497e-01	7.063331403159761723e-06	9.868072897929059400e+04	1.141353259214872651e+03	7.704935337024453474e+02	1.974466634627605970e+02	9.610301778600581490e-03	4.138633585112833534e+05	4.054712768733991779e-01	-2.248541786394372133e-01
4.950000000000000000e+01	2.862047160182457883e+05	1.164629927439829942e+02	8.592900288697517652e+00	-7.712394859998881635e+00	1.187242176063265688e-02	3.801051304620135987e-06	8.389198157986660354e-01	7.063454086846012169e-06	9.867699420723949152e+04	1.141441109235336626e+03	7.705166956153627780e+02	1.974418089037320101e+02	9.610592950706176377e-03	4.138561702034382033e+05	4.054749688000222618e-01	-2.248550558031679469e-01
5.000000000000000000e+01	2.864375601396782440e+05	1.162978191924712519e+02	8.613796142862549132e+00	-7.693718588679656634e+00	1.187402782469905264e-02	3.798537124267459675e-06	8.389735492073372436e-01	7.063576784511739269e-06	9.867325906314756139e+04	1.141528984957430794e+03	7.705398624227840401e+02	1.974369538683978931e+02	9.610884210367237612e-03	4.138489813262475654e+05	4.054786602731248468e-01	-2.248560176430943192e-01
5.050000000000000000e+01	2.866698516510920017e+05	1.161326701593630162e+02	8.634746234183145575e+00	-7.675081233575117068e+00	1.187563436054761383e-02	3.796026574012626083e-06	8.390272945167629448e-01	7.063699496160858856e-06	9.866952354691020446e+04	1.141616886393732784e+03	7.705630341268596339e+02	1.974320983566171037e+02	9.611175557611168624e-03	4.138417918795542791e+05	4.054823512923937945e-01	-2.248568837715232971e-01
5.100000000000000000e+01	2.869015708415381960e+05	1.159675437504107123e+02	8.655750422590568149e+00	-7.656489922678240134e+00	1.187724136840414939e-02	3.793519646135967513e-06	8.390810517330832274e-01	7.063822221797291847e-06	9.866578765842279245e+04	1.141704813556830231e+03	7.705862107297414241e+02	1.974272423682483861e+02	9.611466992465386716e-03	4.138346018632010673e+05	4.054860418575153003e-01	-2.248578578962463770e-01
5.150000000000000000e+01	2.871327411962340120e+05	1.158024430383974277e+02	8.676809510311873197e+00	-7.637936209546340116e+00	1.187884884849464175e-02	3.791016332939779406e-06	8.391348208624436200e-01	7.063944961424958309e-06	9.866205139758062433e+04	1.141792766459321228e+03	7.706093922335838897e+02	1.974223859031504560e+02	9.611758514957330010e-03	4.138274112770305946e+05	4.054897319681753931e-01	-2.248587117529610713e-01
5.200000000000000000e+01	2.873633404265898280e+05	1.156373658579556434e+02	8.697923303121427807e+00	-7.619428961809383338e+00	1.188045680104523293e-02	3.788516626748234371e-06	8.391886019109947581e-01	7.064067715047782546e-06	9.865831476427892630e+04	1.141880745113812736e+03	7.706325786405433291e+02	1.974175289611818869e+02	9.612050125114441831e-03	4.138202201208855840e+05	4.054934216240601574e-01	-2.248596997076773019e-01
5.250000000000000000e+01	2.875933948343651136e+05	1.154723155938094976e+02	8.719092671101845937e+00	-7.600957899436033394e+00	1.188206522628222801e-02	3.786020519907310187e-06	8.392423948848921622e-01	7.064190482669688015e-06	9.865457775841288094e+04	1.141968749532922857e+03	7.706557699527783143e+02	1.974126715422011955e+02	9.612341822964191526e-03	4.138130283946085256e+05	4.054971108248547895e-01	-2.248605397638991366e-01
5.300000000000000000e+01	2.878228790020447923e+05	1.153072897493985494e+02	8.740317353459673200e+00	-7.582533841561896359e+00	1.188367412443207954e-02	3.783528004784705945e-06	8.392961997902956828e-01	7.064313264294602407e-06	9.865084037987762713e+04	1.142056779729277196e+03	7.706789661724491225e+02	1.974078136460668418e+02	9.612633608534057114e-03	4.138058360980416765e+05	4.055007995702438750e-01	-2.248615434041501548e-01
5.350000000000000000e+01	2.880518226340338006e+05	1.151422920851705953e+02	8.761598301510399978e+00	-7.564144441903532190e+00	1.188528349572141700e-02	3.781039073769764967e-06	8.393500166333722756e-01	7.064436059926454262e-06	9.864710262856826012e+04	1.142144835715514091e+03	7.707021673017186458e+02	1.974029552726372003e+02	9.612925481851535697e-03	4.137986432310277596e+05	4.055044878599123326e-01	-2.248623678021692829e-01
5.400000000000000000e+01	2.882801965606175945e+05	1.149773197060765710e+02	8.782935173763378955e+00	-7.545802725494167085e+00	1.188689334037702425e-02	3.778553719273409590e-06	8.394038454202915611e-01	7.064558869569173812e-06	9.864336450437978783e+04	1.142232917504279385e+03	7.707253733427519364e+02	1.973980964217705321e+02	9.613217442944136520e-03	4.137914497934088577e+05	4.055081756935443593e-01	-2.248633893339280210e-01
5.450000000000000000e+01	2.885080345535146189e+05	1.148123768199787236e+02	8.804329018021716635e+00	-7.527494002100433512e+00	1.188850365862584302e-02	3.776071933728050951e-06	8.394576861572303761e-01	7.064681693226693832e-06	9.863962600720713090e+04	1.142321025108229833e+03	7.707485842977151833e+02	1.973932370933250979e+02	9.613509491839384441e-03	4.137842557850274025e+05	4.055118630708236527e-01	-2.248641958434287047e-01
5.500000000000000000e+01	2.887353029819740332e+05	1.146474600574267413e+02	8.825779395926547366e+00	-7.509233804824006597e+00	1.189011445069498504e-02	3.773593709587517840e-06	8.395115388503692211e-01	7.064804530902947942e-06	9.863588713694523904e+04	1.142409158540032195e+03	7.707718001687779861e+02	1.973883772871590168e+02	9.613801628564826868e-03	4.137770612057253020e+05	4.055155499914340211e-01	-2.248652378707066690e-01
5.550000000000000000e+01	2.889620404426814057e+05	1.144825741547669793e+02	8.847287469245769032e+00	-7.491004771028399567e+00	1.189172571681170430e-02	3.771119039326986816e-06	8.395654035058942588e-01	7.064927382601872304e-06	9.863214789348896011e+04	1.142497317812362326e+03	7.707950209581109675e+02	1.973835170031302368e+02	9.614093853148016414e-03	4.137698660553448135e+05	4.055192364550579409e-01	-2.248660238371418263e-01
5.600000000000000000e+01	2.891882080341114197e+05	1.143177151820641058e+02	8.868852684171224965e+00	-7.472825298045374431e+00	1.189333745720344733e-02	3.768647915442899202e-06	8.396192801299966479e-01	7.065050248327405621e-06	9.862840827673305466e+04	1.142585502937906540e+03	7.708182466678874789e+02	1.973786562410968486e+02	9.614386165616529978e-03	4.137626703337279614e+05	4.055229224613788319e-01	-2.248670894180673507e-01
5.650000000000000000e+01	2.894138500448890845e+05	1.141528884962470585e+02	8.890476336528607249e+00	-7.454674964893627909e+00	1.189494967209779423e-02	3.766180330452886122e-06	8.396731687288732093e-01	7.065173128083486597e-06	9.862466828657229780e+04	1.142673713929360929e+03	7.708414773002826905e+02	1.973737950009167150e+02	9.614678565997951398e-03	4.137554740407164209e+05	4.055266080100788928e-01	-2.248678517019803980e-01
5.700000000000000000e+01	2.896389213746650494e+05	1.139880895088885353e+02	8.912157735648834844e+00	-7.436575450573723600e+00	1.189656236172249512e-02	3.763716276895700734e-06	8.397270693087247606e-01	7.065296021874057324e-06	9.862092792290133366e+04	1.142761950799430906e+03	7.708647128574740464e+02	1.973689332824476139e+02	9.614971054319885330e-03	4.137482771761524491e+05	4.055302931008398781e-01	-2.248689444145109406e-01
5.750000000000000000e+01	2.898634729988687322e+05	1.138233243024863128e+02	8.933898334574566391e+00	-7.418502824457676503e+00	1.189817552630547011e-02	3.761255747331140307e-06	8.397809818757582256e-01	7.065418929703061586e-06	9.861718718561476271e+04	1.142850213560832799e+03	7.708879533416406957e+02	1.973640710855473230e+02	9.615263630609953774e-03	4.137410797398774885e+05	4.055339777333436535e-01	-2.248696793206318989e-01
5.800000000000000000e+01	2.900874525521382457e+05	1.136585875182176295e+02	8.955697281051204328e+00	-7.400482534421887415e+00	1.189978916607480064e-02	3.758798734339966178e-06	8.398349064361858574e-01	7.065541851574444016e-06	9.861344607460721454e+04	1.142938502226292485e+03	7.709111987549646301e+02	1.973592084100734780e+02	9.615556294895785672e-03	4.137338817317335051e+05	4.055376619072716959e-01	-2.248708033391678685e-01
5.850000000000000000e+01	2.903109188406425528e+05	1.134938860841248101e+02	8.977556212080346043e+00	-7.382486614379632606e+00	1.190140328125871214e-02	3.756345230523840218e-06	8.398888429962235724e-01	7.065664787492152634e-06	9.860970458977315866e+04	1.143026816808544936e+03	7.709344490996292052e+02	1.973543452558836293e+02	9.615849047205039454e-03	4.137266831515619997e+05	4.055413456223044832e-01	-2.248715065338449948e-01
5.900000000000000000e+01	2.905338110070491675e+05	1.133292137429498183e+02	8.999474085230987797e+00	-7.364544847910328151e+00	1.190301787208561737e-02	3.753895228505243948e-06	8.399427915620940599e-01	7.065787737460135461e-06	9.860596273100705002e+04	1.143115157320336266e+03	7.709577043778203915e+02	1.973494816228353272e+02	9.616141887565375287e-03	4.137194839992045891e+05	4.055450288781231039e-01	-2.248726667183188477e-01
5.950000000000000000e+01	2.907561970054660342e+05	1.131645784056300101e+02	9.021452752381735607e+00	-7.346624622547461847e+00	1.190463293878406964e-02	3.751448720927411617e-06	8.399967521400241166e-01	7.065910701482343906e-06	9.860222049820327084e+04	1.143203523774421456e+03	7.709809645917263197e+02	1.973446175107859517e+02	9.616434816004475888e-03	4.137122842745027738e+05	4.055487116744069809e-01	-2.248733331336440766e-01
6.000000000000000000e+01	2.909780060729886754e+05	1.129999727697571075e+02	9.043490947831605453e+00	-7.328760715413407567e+00	1.190624848158280957e-02	3.749005700454248891e-06	8.400507247362466456e-01	7.066033679562731072e-06	9.859847789125618874e+04	1.143291916183566400e+03	7.710042297435363707e+02	1.973397529195928257e+02	9.616727832550036117e-03	4.137050839772977633e+05	4.055523940108367587e-01	-2.248745351328119146e-01
6.050000000000000000e+01	2.911993168298067758e+05	1.128354058865968881e+02	9.065590774112923356e+00	-7.310915159393932328e+00	1.190786450071070791e-02	3.746566159770267205e-06	8.401047093569979918e-01	7.066156671705251755e-06	9.859473491006008408e+04	1.143380334560545407e+03	7.710274998354431091e+02	1.973348878491132439e+02	9.617020937229771652e-03	4.136978831074312329e+05	4.055560758870909721e-01	-2.248751588555432390e-01
6.100000000000000000e+01	2.914200469775811071e+05	1.126708692403098127e+02	9.087750703926529283e+00	-7.293128487146591787e+00	1.190948099639683316e-02	3.744130091580510923e-06	8.401587060085217162e-01	7.066279677913860752e-06	9.859099155450914986e+04	1.143468778918145063e+03	7.710507748696406907e+02	1.973300222992043587e+02	9.617314130071408576e-03	4.136906816647442756e+05	4.055597573028495439e-01	-2.248764092265556624e-01
6.150000000000000000e+01	2.916402875533675542e+05	1.125063732030898080e+02	9.109973131879289809e+00	-7.275356557193989993e+00	1.191109796887039780e-02	3.741697488610482368e-06	8.402127146970652660e-01	7.066402698192518790e-06	9.858724782449756458e+04	1.143557249269160138e+03	7.710740548483255452e+02	1.973251562697232941e+02	9.617607411102693793e-03	4.136834796490779845e+05	4.055634382577907315e-01	-2.248769833696558362e-01
6.200000000000000000e+01	2.918599428433409776e+05	1.123419078525312074e+02	9.132256224668182654e+00	-7.257646538996879393e+00	1.191271541836076871e-02	3.739268343606071525e-06	8.402667354288818613e-01	7.066525732545184899e-06	9.858350371991944849e+04	1.143645745626395637e+03	7.710973397736959214e+02	1.973202897605270607e+02	9.617900780351381143e-03	4.136762770602735691e+05	4.055671187515929033e-01	-2.248782897162070193e-01
6.250000000000000000e+01	2.920791183211663156e+05	1.121774850890335244e+02	9.154602716943813334e+00	-7.239947169337566990e+00	1.191433334509750183e-02	3.736842649333487853e-06	8.403207682102290521e-01	7.066648780975821501e-06	9.857975924066881998e+04	1.143734268002666795e+03	7.711206296479526827e+02	1.973154227714725550e+02	9.618194237845250488e-03	4.136690738981720060e+05	4.055707987839340389e-01	-2.248788062704797086e-01
6.300000000000000000e+01	2.922977026884126244e+05	1.120130933618854954e+02	9.177010417945968612e+00	-7.222313272402536732e+00	1.191595174931029885e-02	3.734420398579183202e-06	8.403748130473706057e-01	7.066771843488391863e-06	9.857601438663969748e+04	1.143822816410799305e+03	7.711439244732985117e+02	1.973105553024167023e+02	9.618487783612090364e-03	4.136618701626143884e+05	4.055744783544917298e-01	-2.248801774022727018e-01
6.350000000000000000e+01	2.925158181856836309e+05	1.118487463376506525e+02	9.199482457927974366e+00	-7.204685369573767595e+00	1.191757063122902624e-02	3.732001584149784901e-06	8.404288699465748413e-01	7.066894920086862639e-06	9.857226915772607026e+04	1.143911390863628185e+03	7.711672242519382507e+02	1.973056873532162001e+02	9.618781417679708387e-03	4.136546658534414601e+05	4.055781574629430120e-01	-2.248806270652113359e-01
6.400000000000000000e+01	2.927333354271844146e+05	1.116844305826949721e+02	9.222016229053899394e+00	-7.187127114285410734e+00	1.191918999108371527e-02	3.729586198872028842e-06	8.404829389141157403e-01	7.067018010775201333e-06	9.856852355382172391e+04	1.143999991373998228e+03	7.711905289860789026e+02	1.973008189237278032e+02	9.619075140075922584e-03	4.136474609704941395e+05	4.055818361089648660e-01	-2.248820731817898211e-01
6.450000000000000000e+01	2.929503961090918165e+05	1.115201618029492465e+02	9.244615321527749785e+00	-7.169569551219856507e+00	1.192080982910457242e-02	3.727174235592680281e-06	8.405370199562716138e-01	7.067141115557377987e-06	9.856477757482054585e+04	1.144088617954765141e+03	7.712138386779292887e+02	1.972959500138081523e+02	9.619368950828575265e-03	4.136402555136130541e+05	4.055855142922338841e-01	-2.248824451603487207e-01
6.500000000000000000e+01	2.931668498707624967e+05	1.113559243894887061e+02	9.267276641367368839e+00	-7.152086517042659963e+00	1.192243014552195335e-02	3.724765687178470311e-06	8.405911130793266572e-01	7.067264234437363492e-06	9.856103122061629256e+04	1.144177270618793955e+03	7.712371533297010728e+02	1.972910806233137464e+02	9.619662849965517418e-03	4.136330494826389477e+05	4.055891920124260475e-01	-2.248839780628446028e-01
