xcoord (m)	temperature (K)	B_field (T)
2.350000000000000000e+01	3.039823895152078848e+01	0.000000000000000000e+00
2.400000000000000000e+01	3.040564708292731666e+01	0.000000000000000000e+00
2.450000000000000000e+01	3.041304994593423316e+01	0.000000000000000000e+00
2.500000000000000000e+01	3.042037964548616102e+01	0.000000000000000000e+00
2.550000000000000000e+01	3.042769934810040411e+01	0.000000000000000000e+00
2.600000000000000000e+01	3.043495088465852305e+01	0.000000000000000000e+00
2.650000000000000000e+01	3.044218839187387715e+01	0.000000000000000000e+00
2.700000000000000000e+01	3.044936208028605051e+01	0.000000000000000000e+00
2.750000000000000000e+01	3.045651830979782204e+01	0.000000000000000000e+00
2.800000000000000000e+01	3.046361450466902454e+01	0.000000000000000000e+00
2.850000000000000000e+01	3.047069033272090621e+01	0.000000000000000000e+00
2.900000000000000000e+01	3.047770942296496344e+01	0.000000000000000000e+00
2.950000000000000000e+01	3.048470568946633463e+01	0.000000000000000000e+00
3.000000000000000000e+01	3.049164809354586581e+01	0.000000000000000000e+00
3.050000000000000000e+01	3.049856560654918169e+01	0.000000000000000000e+00
3.100000000000000000e+01	3.050543176831978798e+01	0.000000000000000000e+00
3.150000000000000000e+01	3.051227130793535736e+01	0.000000000000000000e+00
3.200000000000000000e+01	3.051906169302161231e+01	0.000000000000000000e+00
3.250000000000000000e+01	3.052582401484005459e+01	0.000000000000000000e+00
3.300000000000000000e+01	3.053253910747831767e+01	0.000000000000000000e+00
3.350000000000000000e+01	3.053922494556092460e+01	0.000000000000000000e+00
3.400000000000000000e+01	3.054586524585207385e+01	0.000000000000000000e+00
3.450000000000000000e+01	3.055247531534353911e+01	0.000000000000000000e+00
3.500000000000000000e+01	3.055904133686559021e+01	0.000000000000000000e+00
3.550000000000000000e+01	3.056557633627657466e+01	0.000000000000000000e+00
3.600000000000000000e+01	3.057206860401300830e+01	0.000000000000000000e+00
3.650000000000000000e+01	3.057852921721409700e+01	0.000000000000000000e+00
3.700000000000000000e+01	3.058494826575926950e+01	0.000000000000000000e+00
3.750000000000000000e+01	3.059133516372386197e+01	0.000000000000000000e+00
3.800000000000000000e+01	3.059768153573138605e+01	0.000000000000000000e+00
3.850000000000000000e+01	3.060399537805962211e+01	0.000000000000000000e+00
3.900000000000000000e+01	3.061026962290430475e+01	0.000000000000000000e+00
3.950000000000000000e+01	3.061651105915707305e+01	0.000000000000000000e+00
4.000000000000000000e+01	3.062271373178351297e+01	0.000000000000000000e+00
4.050000000000000000e+01	3.062888340265164189e+01	0.000000000000000000e+00
4.100000000000000000e+01	3.063501506258743490e+01	0.000000000000000000e+00
4.150000000000000000e+01	3.064111360091860803e+01	0.000000000000000000e+00
4.200000000000000000e+01	3.064717481143190270e+01	0.000000000000000000e+00
4.250000000000000000e+01	3.065320284313483867e+01	0.000000000000000000e+00
4.300000000000000000e+01	3.065919417051905782e+01	0.000000000000000000e+00
4.350000000000000000e+01	3.066515231536277497e+01	0.000000000000000000e+00
4.400000000000000000e+01	3.067107432833281067e+01	0.000000000000000000e+00
4.450000000000000000e+01	3.067696320065590143e+01	0.000000000000000000e+00
4.500000000000000000e+01	3.068281646984381084e+01	0.000000000000000000e+00
4.550000000000000000e+01	3.068863667918818550e+01	0.000000000000000000e+00
4.600000000000000000e+01	3.069442177672585004e+01	0.000000000000000000e+00
4.650000000000000000e+01	3.070017392840638237e+01	0.000000000000000000e+00
4.700000000000000000e+01	3.070589142758636925e+01	0.000000000000000000e+00
4.750000000000000000e+01	3.071157612320839192e+01	0.000000000000000000e+00
4.800000000000000000e+01	3.071722659821400825e+01	0.000000000000000000e+00
4.850000000000000000e+01	3.072284443614786298e+01	0.000000000000000000e+00
4.900000000000000000e+01	3.072842846184572352e+01	0.000000000000000000e+00
4.950000000000000000e+01	3.073398003766775233e+01	0.000000000000000000e+00
5.000000000000000000e+01	3.073949818945646584e+01	0.000000000000000000e+00
5.050000000000000000e+01	3.074498409636490592e+01	0.000000000000000000e+00
5.100000000000000000e+01	3.075043695007522260e+01	0.000000000000000000e+00
5.150000000000000000e+01	3.075585777928840869e+01	0.000000000000000000e+00
5.200000000000000000e+01	3.076124591113019235e+01	0.000000000000000000e+00
5.250000000000000000e+01	3.076660225227517387e+01	0.000000000000000000e+00
5.300000000000000000e+01	3.077192623882815781e+01	0.000000000000000000e+00
5.350000000000000000e+01	3.077721868032600483e+01	0.000000000000000000e+00
5.400000000000000000e+01	3.078247909857113740e+01	0.000000000000000000e+00
5.450000000000000000e+01	3.078770822802698248e+01	0.000000000000000000e+00
5.500000000000000000e+01	3.079290565541639779e+01	0.000000000000000000e+00
5.550000000000000000e+01	3.079807206002082509e+01	0.000000000000000000e+00
5.600000000000000000e+01	3.080320707458462337e+01	0.000000000000000000e+00
5.650000000000000000e+01	3.080831134153419271e+01	0.000000000000000000e+00
5.700000000000000000e+01	3.081338452202269096e+01	0.000000000000000000e+00
5.750000000000000000e+01	3.081842723896743408e+01	0.000000000000000000e+00
5.800000000000000000e+01	3.082343916502762937e+01	0.000000000000000000e+00
5.850000000000000000e+01	3.082842092055431493e+01	0.000000000000000000e+00
5.900000000000000000e+01	3.083337217293982135e+01	0.000000000000000000e+00
5.950000000000000000e+01	3.083829355710101794e+01	0.000000000000000000e+00
6.000000000000000000e+01	3.084318471791484484e+01	0.000000000000000000e+00
6.050000000000000000e+01	3.084804632281405290e+01	0.000000000000000000e+00
6.100000000000000000e+01	3.085287797578250846e+01	0.000000000000000000e+00
6.150000000000000000e+01	3.085768039622929848e+01	0.000000000000000000e+00
6.200000000000000000e+01	3.086245312700660293e+01	0.000000000000000000e+00
6.250000000000000000e+01	3.086719696125563672e+01	0.000000000000000000e+00
